"","CISP","mes","ano","letalidade_violenta","total_roubos","total_furtos","pessoas_desaparecidas","BASE","INAUGURAÇÃO","treatment","date","pop","tx_letalidade","tx_roubo","tx_furtos","tx_pessoas_desaparecidas"
"1",1,1,2003,0,100,169,2,"Centro2","2016-07-04",1,2003-01-01,1545,0,6472.49190938511,10938.5113268608,129.449838187702
"2",4,1,2003,3,82,115,6,"Centro3","2016-10-01",1,2003-01-01,29790,10.0704934541793,275.260154414233,386.035582410205,20.1409869083585
"3",5,1,2003,3,123,216,2,"Centro1","2016-07-26",1,2003-01-01,35656,8.41373120933363,344.962979582679,605.788647072022,5.60915413955575
"4",5,1,2003,3,123,216,2,"Lapa","2014-01-01",1,2003-01-01,35656,8.41373120933363,344.962979582679,605.788647072022,5.60915413955575
"5",6,1,2003,6,143,90,2,"Centro4","2020-09-24",1,2003-01-01,76271,7.8666858963433,187.489347196182,118.00028844515,2.62222863211443
"6",7,1,2003,4,55,35,1,NA,"2020-01-01",0,2003-01-01,38659,10.3468791225846,142.269587935539,90.5351923226157,2.58671978064616
"7",9,1,2003,2,124,268,3,"Flamengo","2015-12-01",1,2003-01-01,128932,1.55120528650762,96.1747277634722,207.861508392021,2.32680792976142
"8",9,1,2003,2,124,268,3,"Laranjeiras","2019-09-06",1,2003-01-01,128932,1.55120528650762,96.1747277634722,207.861508392021,2.32680792976142
"9",10,1,2003,1,112,290,2,"Botafogo","2019-10-04",1,2003-01-01,97517,1.02546222709886,114.851769435073,297.384045858671,2.05092445419773
"10",12,1,2003,3,131,256,3,"Copacabana","2017-12-03",1,2003-01-01,86643,3.46248398601157,151.195134055838,295.465300139653,3.46248398601157
"11",13,1,2003,0,79,217,1,"Copacabana","2017-12-03",1,2003-01-01,65618,0,120.393794385687,330.701941540431,1.52397208083148
"12",14,1,2003,0,118,311,2,"Ipanema","2019-01-03",1,2003-01-01,83868,0,140.697286211666,370.82081365956,2.38469976629942
"13",14,1,2003,0,118,311,2,"Leblon","2018-12-20",1,2003-01-01,83868,0,140.697286211666,370.82081365956,2.38469976629942
"14",15,1,2003,0,55,105,5,"Lagoa","2015-12-01",1,2003-01-01,140125,0,39.2506690454951,74.9330954504906,3.56824264049955
"15",16,1,2003,4,164,290,3,"Barra da Tijuca","2019-11-29",1,2003-01-01,287538,1.391120477989,57.0359395975488,100.856234654202,1.04334035849175
"16",17,1,2003,6,145,106,2,NA,"2020-01-01",0,2003-01-01,75855,7.90982796124184,191.154175730011,139.740293981939,2.63660932041395
"17",18,1,2003,3,158,117,1,"Tijuca","2019-01-03",1,2003-01-01,63967,4.68991823909203,247.00236059218,182.906811324589,1.56330607969734
"18",19,1,2003,1,208,174,1,"Tijuca","2019-01-03",1,2003-01-01,131628,0.759716777585316,158.021089737746,132.190719299845,0.759716777585316
"19",20,1,2003,4,135,144,0,"Grajaú","2019-12-20",1,2003-01-01,154966,2.58121136249242,87.1158834841191,92.923609049727,0
"20",20,1,2003,4,135,144,0,"Vila Isabel","2019-12-20",1,2003-01-01,154966,2.58121136249242,87.1158834841191,92.923609049727,0
"21",21,1,2003,31,458,156,8,"Bonsucesso","2020-01-22",1,2003-01-01,251500,12.3260437375746,182.107355864811,62.0278330019881,3.18091451292246
"22",22,1,2003,2,309,167,4,NA,"2020-01-01",0,2003-01-01,226485,0.883060688345807,136.432876349427,73.7355674768748,1.76612137669161
"23",23,1,2003,1,355,160,0,"Méier","2015-12-01",1,2003-01-01,87133,1.14767080210712,407.423134748029,183.62732833714,0
