"","BMP","DP","Municípios","Unidade Territorial"
"1","2°",9,"RJ","Catete, Cosme Velho, Flamengo, Glória e Laranjeiras"
"2","2°",10,"RJ","Botafogo, Humaitá e Urca"
"3","3°",23,"RJ","Cachambi, Méier e Todos os Santos"
"4","3°",24,"RJ","Abolição, Água Santa, Encantado, Engenho de Dentro, Pilares e Piedade"
"5","3°",25,"RJ","Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier"
"6","3°",26,"RJ","Água Santa, Engenho de Dentro, Lins de Vasconcelos e Todos os Santos"
"7","3°",44,"RJ","Del Castilho, Engenho da Rainha, Inhaúma, Maria da Graça e Tomás Coelho"
"8","4°",6,"RJ","Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro"
"9","4°",17,"RJ","Caju, Mangueira, São Cristóvão e Vasco da Gama"
"10","5°",1,"RJ","Centro"
"11","5°",4,"RJ","Centro, Gamboa, Santo Cristo e Saúde"
"12","5°",5,"RJ","Centro, Lapa e Paquetá"
"13","5°",7,"RJ","Santa Teresa"
"14","6°",18,"RJ","Maracanã, Praça da Bandeira e Tijuca"
"15","6°",19,"RJ","Alto da Boa Vista e Tijuca"
"16","6°",20,"RJ","Andaraí, Grajaú e Vila Isabel"
"17","7°",72,"São Gonçalo","São Gonçalo"
"18","7°",73,"São Gonçalo","Neves"
"19","7°",74,"São Gonçalo","Monjolos"
"20","7°",75,"São Gonçalo","Ipiiba e Sete Pontes"
"21","8°",134,"Campos dos Goytacazes","Campos dos Goytacazes (Primeiro Subdistrito, Segundo Subdistrito e Quarto Subdistrito), Ibitioca, Dores de Macabu, Morangaba, Mussurepe, Serrinha, Santo Amaro de Campos, São Sebastião de Campos e Tocos"
"22","8°",146,"Campos dos Goytacazes","Campos dos Goytacazes (Terceiro Subdistrito), Santa Maria, Morro do Coco, Santo Eduardo, Travessão e Vila Nova de Campos"
"23","8°",141,"São Fidélis","São Fidelis, Cambiasca, Colonia, Ipuca e Pureza"
"24","8°",145,"São João da Barra","Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Pipeiras"
"25","8°",147,"São Francisco de Itabapoana","São Francisco de Itabapoana, Maniva e Barra Seca"
"26","9°",29,"RJ","Cavalcanti, Engenheiro Leal, Madureira, Turiaçu, Vaz Lobo, Oswaldo Cruz, Cascadura e Quintino Bocaiúva"
"27","9°",30,"RJ","Bento Ribeiro, Campinho, Marechal Hermes e Oswaldo Cruz"
"28","9°",40,"RJ","Coelho Neto, Colégio, Honório Gurgel e Rocha Miranda"
"29","10°",88,"Barra do Piraí","Barra do Piraí, Dorandia, Ipiabas, São José do Turvo e Vargem Alegre"
"30","10°",91,"Valença","Valença, Barão de Juparana, Conservatória, Parapeúna, Pentagna e Santa Isabel do Rio Preto"
"31","10°",92,"Rio das Flores","Rio das Flores, Manuel Duarte, Abarracamento e Taboas"
"32","10°",94,"Piraí","Piraí, Arrozal, Monumento e Santanésia"
"33","10°",95,"Vassouras","Vassouras, Andrade Pinto, São Sebastião dos Ferreiros e Sebastião de Lacerda"
"34","10°",96,"Miguel Pereira","Miguel Pereira, Governador Portela e Conrado"
"35","10°",96,"Paty do Alferes","Paty do Alferes e Avelar"
"36","10°",97,"Mendes","Mendes"
"37","10°",98,"Engenheiro Paulo de Frontin","Engenheiro Paulo de Frontin e Sacra Família do Tinguá"
"38","11°",151,"Nova Friburgo","Nova Friburgo, São Pedro da Serra, Lumiar, Amparo, Riograndina, Conselheiro Paulino e Campo do Coelho"
"39","11°",152,"Duas Barras","Duas Barras e Monnerat"
"40","11°",153,"Cantagalo","Cantagalo, Santa Rita da Floresta, Boa Sorte, Euclidelândia e São Sebastião do Paraíba"
"41","11°",154,"Cordeiro","Cordeiro"
"42","11°",154,"Macuco","Macuco"
"43","11°",156,"Santa Maria Madalena","Santa Maria Madalena, Doutor Loreti, Renascença, Santo Antônio do Imbé, Sossego e Triunfo"
"44","11°",157,"Trajano de Moraes","Trajano de Moraes, Doutor Elias, Sodrelândia, Vila da Grama e Visconde de Imbé"
"45","11°",158,"Bom Jardim","Bom Jardim, Banquete, Barra Alegre e São José do Ribeirão"
"46","12°",76,"Niterói","Centro, Ponta da Areia, Ilha da Conceição, São Lourenço, Fátima, Morro do Estado, Ingá, São Domingos, Gragoatá e Boa Viagem"
"47","12°",77,"Niterói","Santa Rosa, Icaraí, Vital Brasil, Pé Pequeno, Viradouro e Cubango"
"48","12°",78,"Niterói","Fonseca, Viçoso Jardim, Caramujo, Baldeador, Santa Bárbara, Tenente Jardim, Engenhoca, Santana e Barreto"
"49","12°",79,"Niterói","Jurujuba, Charitas, São Francisco, Cachoeiras, Maceió, Largo da Batalha, Ititioca, Badu, Sapê, Matapaca, Vila Progresso, Muriqui, Maria Paula e Cantagalo"
"50","12°",81,"Niterói","Itaipu, Camboinhas, Itacoatiara, Piratininga, Cafubá, Jacaré, Rio do Ouro, Engenho do Mato, Várzea das Moças e Jardim Imbuí"
"51","12°",82,"Maricá","Maricá e Inoã"
"52","14°",33,"RJ","Campo dos Afonsos, Deodoro, Jardim Sulacap, Magalhães Bastos, Realengo e Vila Militar"
